timestamp	Placeholder1	Placeholder2	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Target	Hit	X	Y	Z	Radius X	Radius Y	Radius Z	MarkerAssociated	Target	Hit	X	Y	Z	Radius X	Radius Y	Radius Z	MarkerAssociated	Landmark	Placeholder	X	Y	Z	Placeholder	Placeholder	Placeholder	Placeholder	UnityStreamerTimestamp	BufferTimestamp	RenderedTimestamp
15	0	0	4	55	-99.987	-14.772	0.872	0	0	0	0	5	55	-83.278	-32.318	9.619	0	0	0	0	6	55	-90.845	-23.324	11.437	0	0	0	0	7	55	-89.208	-28.763	-3.593	0	0	0	0	8	55	-77.944	-46.929	17.95	0	0	0	0	9	55	-164.356	-17.012	7.353	0	0	0	0	10	55	-94.763	1.469	-0.123	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095416	62095425	62095426
32	0	0	4	55	-100.132	-15.072	0.815	0	0	0	0	5	55	-83.117	-32.974	9.532	0	0	0	0	6	55	-91.409	-23.644	12.961	0	0	0	0	7	55	-89.476	-29.811	-4.21	0	0	0	0	8	55	-77.862	-47.096	17.807	0	0	0	0	9	55	-164.417	-17.44	7.076	0	0	0	0	10	55	-94.659	1.156	-0.476	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095433	62095442	0
32	0	0	4	55	-100.132	-15.072	0.815	0	0	0	0	5	55	-83.117	-32.974	9.532	0	0	0	0	6	55	-91.409	-23.644	12.961	0	0	0	0	7	55	-89.476	-29.811	-4.21	0	0	0	0	8	55	-77.862	-47.096	17.807	0	0	0	0	9	55	-164.417	-17.44	7.076	0	0	0	0	10	55	-94.659	1.156	-0.476	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095434	62095442	62095442
49	0	0	4	55	-100.398	-15	0.798	0	0	0	0	5	55	-83.071	-32.988	9.594	0	0	0	0	6	55	-91.412	-23.789	12.823	0	0	0	0	7	55	-89.896	-29.662	-4.517	0	0	0	0	8	55	-78.001	-47.222	17.771	0	0	0	0	9	55	-164.557	-17.494	7.111	0	0	0	0	10	55	-94.7	1.126	-0.495	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095450	62095459	0
49	0	0	4	55	-100.398	-15	0.798	0	0	0	0	5	55	-83.071	-32.988	9.594	0	0	0	0	6	55	-91.412	-23.788	12.823	0	0	0	0	7	55	-89.896	-29.662	-4.517	0	0	0	0	8	55	-78.001	-47.221	17.771	0	0	0	0	9	55	-164.557	-17.494	7.111	0	0	0	0	10	55	-94.7	1.126	-0.495	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095450	62095459	62095459
65	0	0	4	55	-100.377	-15.038	0.303	0	0	0	0	5	55	-83.198	-32.756	9.278	0	0	0	0	6	55	-90.926	-23.399	11.778	0	0	0	0	7	55	-90.116	-30.213	-4.91	0	0	0	0	8	55	-77.826	-47.296	17.662	0	0	0	0	9	55	-164.479	-17.584	6.84	0	0	0	0	10	55	-94.49	1.135	-0.752	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095467	62095475	62095475
82	0	0	4	55	-100.031	-15.437	0.066	0	0	0	0	5	55	-82.47	-33.115	9.133	0	0	0	0	6	55	-90.787	-24.108	11.529	0	0	0	0	7	55	-89.426	-30.031	-4.604	0	0	0	0	8	55	-77.632	-47.538	17.632	0	0	0	0	9	55	-164.372	-18.167	6.585	0	0	0	0	10	55	-94.242	0.422	-0.873	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095484	62095492	0
82	0	0	4	55	-100.031	-15.437	0.066	0	0	0	0	5	55	-82.47	-33.115	9.133	0	0	0	0	6	55	-90.787	-24.108	11.529	0	0	0	0	7	55	-89.426	-30.031	-4.604	0	0	0	0	8	55	-77.632	-47.538	17.632	0	0	0	0	9	55	-164.372	-18.167	6.585	0	0	0	0	10	55	-94.242	0.422	-0.873	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095484	62095492	62095492
99	0	0	4	55	-100.308	-15.263	0.319	0	0	0	0	5	55	-82.781	-33.038	8.803	0	0	0	0	6	55	-91.011	-24.119	11.483	0	0	0	0	7	55	-89.665	-30.176	-4.935	0	0	0	0	8	55	-77.468	-47.704	17.521	0	0	0	0	9	55	-164.335	-18.34	6.402	0	0	0	0	10	55	-94.457	0.56	-0.972	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095501	62095509	0
99	0	0	4	55	-100.308	-15.263	0.319	0	0	0	0	5	55	-82.781	-33.038	8.803	0	0	0	0	6	55	-91.011	-24.119	11.483	0	0	0	0	7	55	-89.665	-30.176	-4.935	0	0	0	0	8	55	-77.468	-47.704	17.521	0	0	0	0	9	55	-164.335	-18.34	6.402	0	0	0	0	10	55	-94.457	0.56	-0.972	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095501	62095509	62095509
115	0	0	4	55	-100.241	-15.607	0.129	0	0	0	0	5	55	-83.044	-33.104	8.973	0	0	0	0	6	55	-91.136	-23.998	11.649	0	0	0	0	7	55	-89.821	-30.055	-5.266	0	0	0	0	8	55	-77.564	-47.685	17.323	0	0	0	0	9	55	-164.378	-18.184	6.285	0	0	0	0	10	55	-94.342	0.614	-1.085	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095517	62095525	62095525
132	0	0	4	55	-100.15	-15.44	0.531	0	0	0	0	5	55	-83.158	-32.86	9.014	0	0	0	0	6	55	-91.114	-23.769	11.27	0	0	0	0	7	55	-90	-30.223	-5.26	0	0	0	0	8	55	-77.738	-47.5	17.372	0	0	0	0	9	55	-164.468	-17.791	6.373	0	0	0	0	10	55	-94.503	0.772	-0.926	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095533	62095542	0
132	0	0	4	55	-100.15	-15.44	0.531	0	0	0	0	5	55	-83.158	-32.86	9.014	0	0	0	0	6	55	-91.114	-23.769	11.269	0	0	0	0	7	55	-90	-30.223	-5.26	0	0	0	0	8	55	-77.738	-47.5	17.372	0	0	0	0	9	55	-164.468	-17.791	6.373	0	0	0	0	10	55	-94.503	0.772	-0.926	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095533	62095542	62095542
149	0	0	4	55	-100.068	-14.984	0.144	0	0	0	0	5	55	-83.127	-32.618	9.004	0	0	0	0	6	55	-90.929	-23.499	11.295	0	0	0	0	7	55	-90.36	-29.721	-5.586	0	0	0	0	8	55	-77.717	-47.281	17.374	0	0	0	0	9	55	-164.398	-17.43	6.555	0	0	0	0	10	55	-94.471	1.026	-0.72	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095550	62095559	0
149	0	0	4	55	-100.068	-14.984	0.144	0	0	0	0	5	55	-83.127	-32.618	9.004	0	0	0	0	6	55	-90.929	-23.499	11.295	0	0	0	0	7	55	-90.36	-29.721	-5.586	0	0	0	0	8	55	-77.717	-47.281	17.374	0	0	0	0	9	55	-164.398	-17.43	6.555	0	0	0	0	10	55	-94.471	1.026	-0.72	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095551	62095559	62095559
165	0	0	4	55	-100.29	-15.054	0.147	0	0	0	0	5	55	-83.189	-32.595	8.685	0	0	0	0	6	55	-91.223	-23.302	10.836	0	0	0	0	7	55	-89.51	-29.782	-5.042	0	0	0	0	8	55	-77.893	-47.177	17.139	0	0	0	0	9	55	-164.454	-17.302	6.001	0	0	0	0	10	55	-94.566	1.089	-1.021	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095567	62095575	62095575
182	0	0	4	55	-100.783	-15.116	0.238	0	0	0	0	5	55	-83.263	-33.279	8.94	0	0	0	0	6	55	-91.146	-23.76	11.077	0	0	0	0	7	55	-89.733	-29.793	-5.706	0	0	0	0	8	55	-77.874	-47.416	17.196	0	0	0	0	9	55	-164.58	-17.601	6.248	0	0	0	0	10	55	-94.762	0.884	-0.855	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095583	62095592	0
182	0	0	4	55	-100.783	-15.116	0.238	0	0	0	0	5	55	-83.263	-33.279	8.94	0	0	0	0	6	55	-91.146	-23.76	11.077	0	0	0	0	7	55	-89.733	-29.793	-5.706	0	0	0	0	8	55	-77.874	-47.416	17.196	0	0	0	0	9	55	-164.58	-17.601	6.248	0	0	0	0	10	55	-94.762	0.884	-0.855	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095583	62095592	62095592
199	0	0	4	55	-100.515	-15.334	0.146	0	0	0	0	5	55	-83.187	-32.842	8.779	0	0	0	0	6	55	-90.59	-23.504	10.361	0	0	0	0	7	55	-90.33	-29.886	-5.753	0	0	0	0	8	55	-77.767	-47.399	17.318	0	0	0	0	9	55	-164.477	-17.63	6.373	0	0	0	0	10	55	-94.696	0.823	-0.8	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095600	62095609	0
199	0	0	4	55	-100.515	-15.334	0.146	0	0	0	0	5	55	-83.187	-32.842	8.779	0	0	0	0	6	55	-90.59	-23.504	10.361	0	0	0	0	7	55	-90.33	-29.886	-5.753	0	0	0	0	8	55	-77.767	-47.399	17.318	0	0	0	0	9	55	-164.477	-17.63	6.373	0	0	0	0	10	55	-94.696	0.823	-0.8	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095601	62095609	62095609
215	0	0	4	55	-100.635	-16.119	0.385	0	0	0	0	5	55	-82.945	-33.47	8.25	0	0	0	0	6	55	-91.141	-24.14	10.838	0	0	0	0	7	55	-89.97	-30.381	-5.861	0	0	0	0	8	55	-77.824	-47.688	17.111	0	0	0	0	9	55	-164.682	-18.245	5.997	0	0	0	0	10	55	-94.946	0.379	-1.09	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095617	62095625	62095625
232	0	0	4	55	-100.304	-16.178	0.622	0	0	0	0	5	55	-83.458	-33.165	9.013	0	0	0	0	6	55	-90.727	-23.721	10.227	0	0	0	0	7	55	-89.869	-30.293	-5.312	0	0	0	0	8	55	-77.834	-47.563	17.429	0	0	0	0	9	55	-164.67	-17.986	6.606	0	0	0	0	10	55	-94.813	0.582	-0.724	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095633	62095642	0
232	0	0	4	55	-100.304	-16.178	0.622	0	0	0	0	5	55	-83.458	-33.165	9.013	0	0	0	0	6	55	-90.727	-23.721	10.227	0	0	0	0	7	55	-89.869	-30.293	-5.312	0	0	0	0	8	55	-77.834	-47.563	17.429	0	0	0	0	9	55	-164.67	-17.986	6.606	0	0	0	0	10	55	-94.813	0.582	-0.724	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095634	62095642	62095642
249	0	0	4	55	-100.506	-16.15	0.718	0	0	0	0	5	55	-83.423	-33.348	9.085	0	0	0	0	6	55	-90.699	-23.672	10.171	0	0	0	0	7	55	-89.96	-30.116	-5.407	0	0	0	0	8	55	-77.821	-47.631	17.429	0	0	0	0	9	55	-164.648	-18.116	6.259	0	0	0	0	10	55	-94.729	0.497	-0.996	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095650	62095659	0
249	0	0	4	55	-100.506	-16.15	0.718	0	0	0	0	5	55	-83.423	-33.348	9.085	0	0	0	0	6	55	-90.699	-23.672	10.171	0	0	0	0	7	55	-89.96	-30.116	-5.407	0	0	0	0	8	55	-77.821	-47.631	17.429	0	0	0	0	9	55	-164.648	-18.116	6.259	0	0	0	0	10	55	-94.729	0.497	-0.996	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095650	62095659	62095659
265	0	0	4	55	-100.901	-16.466	0.775	0	0	0	0	5	55	-83.294	-33.346	8.694	0	0	0	0	6	55	-90.789	-24.209	10.51	0	0	0	0	7	55	-89.924	-30.497	-5.532	0	0	0	0	8	55	-77.848	-47.888	17.483	0	0	0	0	9	55	-164.787	-18.463	6.313	0	0	0	0	10	55	-94.853	0.316	-0.938	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095667	62095675	62095675
282	0	0	4	55	-100.821	-16.538	0.966	0	0	0	0	5	55	-83.674	-33.643	8.837	0	0	0	0	6	55	-91.018	-24.463	11.353	0	0	0	0	7	55	-90.234	-30.645	-5.642	0	0	0	0	8	55	-77.911	-47.855	17.365	0	0	0	0	9	55	-164.775	-18.387	6.09	0	0	0	0	10	55	-94.738	0.388	-1.136	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095683	62095692	0
282	0	0	4	55	-100.821	-16.538	0.966	0	0	0	0	5	55	-83.674	-33.643	8.837	0	0	0	0	6	55	-91.018	-24.463	11.353	0	0	0	0	7	55	-90.234	-30.645	-5.642	0	0	0	0	8	55	-77.911	-47.855	17.365	0	0	0	0	9	55	-164.775	-18.387	6.09	0	0	0	0	10	55	-94.738	0.388	-1.136	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095683	62095692	62095692
299	0	0	4	55	-101.215	-17.018	0.907	0	0	0	0	5	55	-83.548	-34.367	9.088	0	0	0	0	6	55	-91.219	-24.706	10.948	0	0	0	0	7	55	-90.176	-31.331	-5.541	0	0	0	0	8	55	-77.851	-48.349	17.355	0	0	0	0	9	55	-164.943	-19.101	6.149	0	0	0	0	10	55	-94.916	-0.057	-1.053	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095700	62095709	0
299	0	0	4	55	-101.215	-17.018	0.907	0	0	0	0	5	55	-83.548	-34.367	9.088	0	0	0	0	6	55	-91.219	-24.706	10.948	0	0	0	0	7	55	-90.176	-31.331	-5.541	0	0	0	0	8	55	-77.851	-48.349	17.355	0	0	0	0	9	55	-164.943	-19.101	6.149	0	0	0	0	10	55	-94.916	-0.057	-1.053	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095700	62095709	62095709
315	0	0	4	55	-101.117	-16.531	1.194	0	0	0	0	5	55	-83.894	-33.439	9.08	0	0	0	0	6	55	-91.188	-24.324	11.818	0	0	0	0	7	55	-90.381	-30.546	-5.633	0	0	0	0	8	55	-78.194	-47.81	17.548	0	0	0	0	9	55	-164.94	-18.065	6.4	0	0	0	0	10	55	-94.747	0.781	-0.791	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095717	62095725	62095725
332	0	0	4	55	-101.364	-16.878	1.574	0	0	0	0	5	55	-83.585	-33.813	8.843	0	0	0	0	6	55	-91.06	-24.253	10.623	0	0	0	0	7	55	-89.762	-31.62	-5.608	0	0	0	0	8	55	-78.009	-48.186	17.435	0	0	0	0	9	55	-164.869	-18.83	6.05	0	0	0	0	10	55	-94.656	0.409	-0.972	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095733	62095742	0
332	0	0	4	55	-101.364	-16.878	1.574	0	0	0	0	5	55	-83.585	-33.813	8.843	0	0	0	0	6	55	-91.06	-24.253	10.623	0	0	0	0	7	55	-89.762	-31.62	-5.608	0	0	0	0	8	55	-78.009	-48.186	17.435	0	0	0	0	9	55	-164.869	-18.83	6.05	0	0	0	0	10	55	-94.656	0.409	-0.972	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095733	62095742	62095742
349	0	0	4	55	-101.369	-16.355	1.574	0	0	0	0	5	55	-83.481	-33.284	8.662	0	0	0	0	6	55	-91.151	-24.072	11.177	0	0	0	0	7	55	-90.526	-30.877	-5.978	0	0	0	0	8	55	-78.235	-47.915	17.33	0	0	0	0	9	55	-164.887	-18.221	6.094	0	0	0	0	10	55	-94.564	0.865	-0.963	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095750	62095759	0
349	0	0	4	55	-101.369	-16.355	1.574	0	0	0	0	5	55	-83.481	-33.284	8.662	0	0	0	0	6	55	-91.151	-24.072	11.177	0	0	0	0	7	55	-90.526	-30.877	-5.978	0	0	0	0	8	55	-78.235	-47.915	17.33	0	0	0	0	9	55	-164.887	-18.221	6.094	0	0	0	0	10	55	-94.564	0.865	-0.963	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095750	62095759	62095759
365	0	0	4	55	-100.967	-16.993	2.135	0	0	0	0	5	55	-84.131	-33.618	9.413	0	0	0	0	6	55	-91.592	-24.349	12.078	0	0	0	0	7	55	-90.271	-30.584	-5.443	0	0	0	0	8	55	-78.263	-47.774	17.678	0	0	0	0	9	55	-164.835	-18.157	6.625	0	0	0	0	10	55	-94.824	0.59	-0.351	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095767	62095775	62095775
382	0	0	4	55	-101.663	-17.426	2.036	0	0	0	0	5	55	-84.02	-33.848	9.307	0	0	0	0	6	55	-91.622	-24.599	11.974	0	0	0	0	7	55	-90.52	-31.006	-5.5	0	0	0	0	8	55	-78.459	-47.99	17.643	0	0	0	0	9	55	-165.04	-18.367	6.641	0	0	0	0	10	55	-94.632	0.8	-0.311	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095783	62095792	0
382	0	0	4	55	-101.663	-17.426	2.036	0	0	0	0	5	55	-84.02	-33.848	9.307	0	0	0	0	6	55	-91.622	-24.599	11.974	0	0	0	0	7	55	-90.52	-31.006	-5.5	0	0	0	0	8	55	-78.458	-47.99	17.643	0	0	0	0	9	55	-165.04	-18.367	6.641	0	0	0	0	10	55	-94.632	0.8	-0.311	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095783	0	62095792
399	0	0	4	55	-101.725	-17.14	2.173	0	0	0	0	5	55	-84.252	-33.665	9.366	0	0	0	0	6	55	-91.32	-24.219	11.763	0	0	0	0	7	55	-90.109	-30.376	-5.321	0	0	0	0	8	55	-78.529	-47.601	17.928	0	0	0	0	9	55	-164.954	-17.855	6.91	0	0	0	0	10	55	-95.045	0.877	-0.181	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095801	62095809	0
399	0	0	4	55	-101.725	-17.14	2.173	0	0	0	0	5	55	-84.252	-33.665	9.366	0	0	0	0	6	55	-91.32	-24.219	11.763	0	0	0	0	7	55	-90.109	-30.376	-5.321	0	0	0	0	8	55	-78.528	-47.601	17.928	0	0	0	0	9	55	-164.954	-17.855	6.91	0	0	0	0	10	55	-95.045	0.877	-0.181	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095801	62095809	62095809
415	0	0	4	55	-101.699	-17.417	1.449	0	0	0	0	5	55	-84.195	-33.831	9.446	0	0	0	0	6	55	-91.477	-24.384	11.772	0	0	0	0	7	55	-90.838	-30.623	-5.901	0	0	0	0	8	55	-78.114	-47.935	17.723	0	0	0	0	9	55	-164.963	-18.096	6.541	0	0	0	0	10	55	-94.82	0.632	-0.614	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095817	62095825	62095825
432	0	0	4	55	-101.77	-17.058	2.189	0	0	0	0	5	55	-84.263	-33.433	9.318	0	0	0	0	6	55	-91.052	-23.957	11.38	0	0	0	0	7	55	-90.743	-30.455	-5.209	0	0	0	0	8	55	-78.954	-47.797	18.31	0	0	0	0	9	55	-165.099	-17.779	6.855	0	0	0	0	10	55	-95.216	0.687	-0.516	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095834	62095842	0
432	0	0	4	55	-101.77	-17.058	2.189	0	0	0	0	5	55	-84.263	-33.433	9.318	0	0	0	0	6	55	-91.052	-23.957	11.38	0	0	0	0	7	55	-90.743	-30.455	-5.209	0	0	0	0	8	55	-78.954	-47.797	18.31	0	0	0	0	9	55	-165.099	-17.779	6.855	0	0	0	0	10	55	-95.216	0.687	-0.516	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095834	62095842	62095842
449	0	0	4	55	-101.617	-17.442	2.014	0	0	0	0	5	55	-84.338	-33.667	9.633	0	0	0	0	6	55	-91.376	-24.184	11.791	0	0	0	0	7	55	-90.648	-30.524	-5.192	0	0	0	0	8	55	-78.776	-47.689	18.033	0	0	0	0	9	55	-165.06	-17.915	6.841	0	0	0	0	10	55	-95.136	0.644	-0.365	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095849	62095859	0
449	0	0	4	55	-101.617	-17.442	2.014	0	0	0	0	5	55	-84.338	-33.667	9.633	0	0	0	0	6	55	-91.376	-24.184	11.791	0	0	0	0	7	55	-90.648	-30.524	-5.192	0	0	0	0	8	55	-78.776	-47.689	18.033	0	0	0	0	9	55	-165.06	-17.915	6.841	0	0	0	0	10	55	-95.136	0.644	-0.365	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095850	62095859	62095859
465	0	0	4	55	-101.8	-16.849	2.221	0	0	0	0	5	55	-84.08	-33.021	9.431	0	0	0	0	6	55	-91.208	-23.355	10.802	0	0	0	0	7	55	-90.535	-29.877	-5.096	0	0	0	0	8	55	-78.618	-47.274	18.162	0	0	0	0	9	55	-164.953	-17.18	6.795	0	0	0	0	10	55	-94.91	1.342	-0.599	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095867	62095875	62095875
482	0	0	4	55	-101.638	-16.696	2.109	0	0	0	0	5	55	-83.973	-32.984	9.698	0	0	0	0	6	55	-90.929	-23.61	11.482	0	0	0	0	7	55	-90.289	-29.786	-5.385	0	0	0	0	8	55	-78.492	-47.084	18.461	0	0	0	0	9	55	-164.87	-17.399	6.942	0	0	0	0	10	55	-94.682	1.408	-0.574	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095884	62095892	0
482	0	0	4	55	-101.638	-16.696	2.109	0	0	0	0	5	55	-83.973	-32.984	9.698	0	0	0	0	6	55	-90.929	-23.61	11.482	0	0	0	0	7	55	-90.289	-29.786	-5.385	0	0	0	0	8	55	-78.492	-47.084	18.461	0	0	0	0	9	55	-164.87	-17.399	6.942	0	0	0	0	10	55	-94.682	1.408	-0.574	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-94.52	0.811	-0.525	0	0	0	0	62095884	62095892	62095892
